id,lastpage,startdate,datestamp,randnumber,case1a1,case1a2,case1a3,case1a4,case1a5,case1a6,case1a7,case1a8,case1a9,case1b1,case1b2,case1b3,case1b4,case1b5,case1b6,case1b7,case1b8,case1b9,case1c1,case1c2,case1c3,case1c4,case1c5,case1c6,case1c7,case1c8,case1c9,case1d1,case1d2,case1d3,case1d4,case1d5,case1d6,case1d7,case1d8,case1d9,kontrolle1,kontrolle2b,wuerde,mitbewohner,wohnraum,alter,geschlecht,einkommen,bildung,bundesland,politik
101,13,2026-03-26 10:31:52,2026-03-26 10:39:04,1,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,3.0,180.0,53.0,1.0,500.0,8.0,1.0,3.0
102,10,2026-03-26 10:32:07,2026-03-26 10:35:24,1,10.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,
103,7,2026-03-26 10:32:39,2026-03-26 10:32:55,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2,2026-03-26 10:32:47,2026-03-26 10:32:47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,13,2026-03-26 10:33:03,2026-03-26 10:36:21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,-8.0,-5.0,0.0,0.0,-2.0,-5.0,-10.0,-5.0,7.0,1.0,60.0,1.0,60.0,31.0,3.0,1500.0,3.0,9.0,6.0
106,7,2026-03-26 10:33:10,2026-03-26 10:33:37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,10,2026-03-26 10:34:30,2026-03-26 10:38:29,3,,,,,,,,,,,,,,,,,,,5.0,10.0,5.0,25.0,40.0,35.0,30.0,50.0,60.0,,,,,,,,,,7.0,0.0,,,,,,,,,
108,2,2026-03-26 10:34:35,2026-03-26 10:34:35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,10,2026-03-26 10:36:18,2026-03-26 10:41:04,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,
110,13,2026-03-26 10:36:57,2026-03-26 10:41:17,3,,,,,,,,,,,,,,,,,,,-5.0,-4.0,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,7.0,1.0,30.0,2.0,60.0,38.0,1.0,3800.0,5.0,3.0,4.0
111,13,2026-03-26 10:38:02,2026-03-26 10:44:10,3,,,,,,,,,,,,,,,,,,,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,7.0,1.0,60.0,2.0,100.0,60.0,1.0,0.0,5.0,14.0,5.0
112,13,2026-03-26 10:38:42,2026-03-26 10:43:09,3,,,,,,,,,,,,,,,,,,,-9.0,-8.0,-7.0,-2.0,0.0,3.0,8.0,10.0,25.0,,,,,,,,,,7.0,1.0,40.0,4.0,115.0,51.0,3.0,3200.0,8.0,13.0,2.0
113,5,2026-03-26 10:39:29,2026-03-26 10:39:38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
