id,lastpage,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16,case17,case18,case19,case20,case21,control1,control2,age,gender,income,education,state,space,persons,politics
1,35,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,27,3,360,7,9,55,1,2
2,35,-100,-90,-80,-70,-60,-50,-40,-30,20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,23,3,,7,9,,4,2
3,35,-40,-30,-30,-30,-20,-20,-20,-10,-10,-5,0,0,1,1,1,2,2,2,2,2,3,3,4,23,3,1300,4,9,75,2,1
4,35,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,2,30,40,50,60,70,80,90,100,3,4,25,1,,5,9,130,2,2
5,35,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,22,1,1100,4,9,160,4,1
6,35,-10,-9,-8,-7,-6,-2,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,2,3,4,32,3,800,4,9,73,2,1
7,35,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,23,1,600,4,9,30,,5
8,35,-100,-80,-70,-60,-50,-50,-30,-20,0,0,0,0,0,30,40,20,50,50,60,70,100,3,4,19,3,35,4,9,95,2,3
9,35,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,22,3,1200,4,9,28,1,4
10,35,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,25,3,1000,5,9,50,2,1
11,35,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,3,4,24,3,700,8,9,74,3,5
12,35,-20,-15,-13,-10,-9,-8,-6,-4,-6,-1,0,1,1,1,4,6,8,8,9,9,10,3,4,22,3,1000,4,9,22,1,5
13,35,-200,-100,-80,-70,-60,-50,-40,-30,-20,-20,0,10,20,30,40,50,60,70,80,90,100,3,4,19,1,0,4,9,200,3,2
14,35,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,3,3,62,3,3800,7,9,145,2,2
15,35,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,3,4,33,3,1400,5,9,72,2,3
